relation,accuracy,precision,recall,f1-score,TP,FN,TN,FP
0,87.57,89.15,84.44,86.73,559,103,646,68
1,96.91,97.73,96.42,97.07,431,16,385,10
2,95.8,95.96,95.55,95.76,3587,167,3666,151
3,97.27,97.37,97.22,97.29,3107,89,3067,84
4,81.61,88.61,71.03,78.85,179,73,247,23
5,25.0,33.33,50.0,40.0,0,1,0,2
6,100.0,100.0,100.0,100.0,1,0,0,0
7,42.86,60.0,60.0,60.0,3,2,0,2
8,78.66,75.92,85.8,80.56,145,24,113,46
9,65.75,64.71,62.86,63.77,22,13,26,12
10,67.65,84.62,55.0,66.67,11,9,12,2
11,71.43,66.67,66.67,66.67,2,1,3,1
12,84.62,77.78,100.0,87.5,7,0,4,2
13,83.96,80.78,90.82,85.51,475,48,368,113
14,62.5,66.67,50.0,57.14,4,4,6,2
15,100.0,100.0,100.0,100.0,0,0,1,0
16,90.32,100.0,82.35,90.32,14,3,14,0
17,50.0,100.0,25.0,40.0,1,3,2,0
18,58.28,58.33,10.77,18.18,7,58,81,5
19,57.14,100.0,40.0,57.14,2,3,2,0
20,67.65,75.0,23.08,35.29,3,10,20,1
21,100.0,100.0,100.0,100.0,2,0,1,0
22,74.56,73.44,79.66,76.42,47,12,38,17
23,69.7,70.83,85.0,77.27,17,3,6,7
24,71.43,100.0,33.33,50.0,1,2,4,0
25,50.0,100.0,20.0,33.33,0,4,3,0
26,100.0,100.0,100.0,100.0,0,0,1,0
27,96.77,96.43,96.43,96.43,27,1,33,1
28,100.0,100.0,100.0,100.0,0,0,0,0
29,71.21,66.67,84.85,74.67,28,5,19,14
30,66.67,100.0,50.0,66.67,0,1,1,0
31,60.0,50.0,50.0,50.0,2,2,4,2
32,40.0,40.0,100.0,57.14,2,0,0,3
33,54.55,100.0,16.67,28.57,0,5,5,0
34,100.0,100.0,100.0,100.0,0,0,1,0
35,87.5,78.57,100.0,88.0,11,0,10,3
36,33.33,40.0,40.0,40.0,2,3,1,3
